ID,Longitude,Latitude,School_Address,School_City,State,School_Zip_Code
1947,-85.290009,34.889443,2423 Johnson Rd,Chickamauga,GA,30707-2780
1948,-85.276635,34.716145000000004,610 N Duke St,La Fayette,GA,30728-2232
1949,-85.314865,34.938427000000004,316 Bull Dog Trl,Rossville,GA,30741-6336
1950,-85.35911999999999,34.975021999999996,1306 Lula Lake Rd,Lookout Mountain,GA,30750-2712
1951,-85.212576,34.692848,4038 E Highway 136,La Fayette,GA,30728-6041
1952,-85.346839,34.934575,3420 Chattanooga Valley Rd,Flintstone,GA,30725-2390
1953,-85.307401,34.961927,1600 Happy Valley Rd,Rossville,GA,30741-2210
1954,-83.786144,33.790817,821 H D Atha Rd,Monroe,GA,30655-5636
1955,-83.85457199999999,33.779464000000004,1804 Highway 81,Loganville,GA,30052-4593
1956,-83.737002,33.822556,140 Dillard Dr,Monroe,GA,30656-4620
1957,-83.925455,33.773721,2700 White Rd,Loganville,GA,30052-3301
1958,-83.872883,33.754042999999996,4863 Guthrie Cemetery Rd,Loganville,GA,30052-4468
1959,-83.654818,33.754463,934 Harmony Church Rd NE,Monroe,GA,30655-6206
1960,-83.888249,33.83667,100 Homer Moon Rd,Loganville,GA,30052-2340
1961,-83.867808,33.854327000000005,4889 Bay Creek Church Road,Loganville,GA,30052
1962,-83.675322,33.796008,1095 Good Hope Rd,Monroe,GA,30655-8601
1963,-83.854197,33.727831,460 Highway 81 S,Covington,GA,30014-0618
1964,-83.869078,33.834476,100 Trident Trail,Loganville,GA,30052-3723
1965,-83.860251,33.784828999999995,4009 Center Hill Church Rd,Loganville,GA,30052-4232
1966,-83.736926,33.818767,300 Double Springs Church Rd SW,Monroe,GA,30656-2501
1967,-83.86465600000001,33.854032000000004,4869 Bay Creek Church Rd,Loganville,GA,30052-3567
1968,-83.755284,33.874446999999996,333 Carl Davis Rd NW,Monroe,GA,30656-3434
1969,-82.387704,31.196688,700 Victory Dr,Waycross,GA,31503-8856
1970,-82.345954,31.212587,705 Dewey St,Waycross,GA,31501-3340
1971,-82.340447,31.213379999999997,700 Central Ave,Waycross,GA,31501-3113
1972,-82.355723,31.237403000000004,2114 Dorothy St,Waycross,GA,31501-7142
1973,-82.393238,31.234012,2301 Cherokee St,Waycross,GA,31503-9175
1974,-82.43885300000001,31.157947999999998,3550 Valdosta Hwy,Waycross,GA,31503-7823
1975,-82.319552,31.190393,2580 Ambrose St,Waycross,GA,31503-8596
1976,-82.47791,31.250869,3379 W Church St,Waycross,GA,31503-6701
1977,-82.376822,31.249626,3101 State St,Waycross,GA,31503-9760
1978,-82.679956,33.417986,1253 Atlanta Hwy,Warrenton,GA,30828-9114
1979,-82.679965,33.417986,1253 Atlanta Hwy,Warrenton,GA,30828-9114
1980,-82.679965,33.417975,1253 Atlanta Hwy,Warrenton,GA,30828-9114
1981,-82.816137,33.002808,902 Linton Rd,Sandersville,GA,31082-9429
1982,-82.803914,32.969347,420 Riddleville Rd,Sandersville,GA,31082-7644
1983,-82.788195,32.967746999999996,285 Ridge Rd.,Sandersville,GA,31082-2701
1984,-82.788191,32.967743,285 Ridge Rd.,Sandersville,GA,31082-1856
1985,-81.918189,31.617722999999998,1 Jacket Dr,Jesup,GA,31545-7895
1986,-81.91474000000001,31.616715999999997,475 Durrence Rd,Jesup,GA,31545-7827
